solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_74 / solvent_87,1 / 0,298.15,0 / 0.45,aci
solvent_74 / solvent_171,1 / 0,298.15,0 / 0.7,aci
solvent_74 / solvent_51,1 / 0,298.15,0 / 0.99,aci
solvent_74 / solvent_823,1 / 0,298.15,0 / 0.95,aci
solvent_74 / solvent_57,1 / 0,298.15,0 / 0,aci
solvent_74 / solvent_182,1 / 0,298.15,0 / 0.68,aci
solvent_74 / solvent_264,1 / 0,298.15,0 / 0.62,aci
solvent_74 / solvent_4,1 / 0,298.15,0 / 0.58,aci
solvent_74 / solvent_544,1 / 0,298.15,0 / 0.68,aci
solvent_74 / solvent_94,1 / 0,298.15,0 / 0.77,aci
solvent_74 / solvent_835,1 / 0,298.15,0 / 0.75,aci
solvent_74 / solvent_111,1 / 0,298.15,0 / 1.82,aci
solvent_74 / solvent_553,1 / 0,298.15,0 / 0.82,aci
solvent_74 / solvent_20,1 / 0,298.15,0 / 0.55,aci
solvent_46 / solvent_5,1 / 0,298.15,0 / -0.03,aci
solvent_46 / solvent_60,1 / 0,298.15,0 / 0.02,aci
solvent_46 / solvent_50,1 / 0,298.15,0 / 0.04,aci
solvent_46 / solvent_190,1 / 0,298.15,0 / 0.04,aci
solvent_46 / solvent_19,1 / 0,298.15,0 / 0.05,aci
solvent_46 / solvent_128,1 / 0,298.15,0 / 0.07,aci
solvent_46 / solvent_44,1 / 0,298.15,0 / 0.12,aci
solvent_46 / solvent_844,1 / 0,298.15,0 / 0.07,aci
solvent_46 / solvent_900,1 / 0,298.15,0 / 0.09,aci
solvent_46 / solvent_126,1 / 0,298.15,0 / 0.11,aci
solvent_46 / solvent_123,1 / 0,298.15,0 / 0.17,aci
solvent_17 / solvent_1,1 / 0,298.15,0 / 0.08,aci
solvent_17 / solvent_32,1 / 0,298.15,0 / 0.94,aci
solvent_17 / solvent_12,1 / 0,298.15,0 / 0.9,aci
solvent_17 / solvent_87,1 / 0,298.15,0 / 0.8,aci
solvent_17 / solvent_57,1 / 0,298.15,0 / 0.41,aci
solvent_22 / solvent_1,1 / 0,298.15,0 / -0.08,aci
solvent_22 / solvent_112,1 / 0,298.15,0 / 0.88,aci
solvent_22 / solvent_12,1 / 0,298.15,0 / 0.82,aci
solvent_22 / solvent_895,1 / 0,298.15,0 / 5.42,aci
solvent_22 / solvent_711,1 / 0,298.15,0 / 5.99,aci
solvent_22 / solvent_7,1 / 0,298.15,0 / -0.11,aci
solvent_868 / solvent_50,1 / 0,298.15,0 / 0.63,aci
solvent_868 / solvent_19,1 / 0,298.15,0 / 0.69,aci
solvent_49 / solvent_5,1 / 0,298.15,0 / -0.09,aci
solvent_49 / solvent_60,1 / 0,298.15,0 / -0.01,aci
solvent_49 / solvent_50,1 / 0,298.15,0 / 0.06,aci
solvent_49 / solvent_190,1 / 0,298.15,0 / -0.02,aci
solvent_49 / solvent_19,1 / 0,298.15,0 / 0.07,aci
solvent_49 / solvent_128,1 / 0,298.15,0 / 0.02,aci
solvent_49 / solvent_44,1 / 0,298.15,0 / 0.05,aci
solvent_49 / solvent_844,1 / 0,298.15,0 / 0.05,aci
solvent_49 / solvent_900,1 / 0,298.15,0 / 0.06,aci
solvent_49 / solvent_126,1 / 0,298.15,0 / 0.15,aci
solvent_49 / solvent_123,1 / 0,298.15,0 / 0.18,aci
solvent_49 / solvent_822,1 / 0,298.15,0 / 0.01,aci
solvent_49 / solvent_3,1 / 0,298.15,0 / 0.45,aci
solvent_49 / solvent_124,1 / 0,298.15,0 / -0.01,aci
solvent_49 / solvent_394,1 / 0,298.15,0 / -0.03,aci
solvent_49 / solvent_93,1 / 0,298.15,0 / -0.02,aci
solvent_49 / solvent_13,1 / 0,298.15,0 / 4.28,aci
solvent_49 / solvent_1,1 / 0,298.15,0 / 3.8,aci
solvent_49 / solvent_66,1 / 0,298.15,0 / 1.12,aci
solvent_49 / solvent_9,1 / 0,298.15,0 / 0.3,aci
solvent_49 / solvent_112,1 / 0,298.15,0 / 1.27,aci
solvent_49 / solvent_32,1 / 0,298.15,0 / 1.93,aci
solvent_49 / solvent_12,1 / 0,298.15,0 / 1.43,aci
solvent_49 / solvent_723,1 / 0,298.15,0 / 0.38,aci
solvent_49 / solvent_87,1 / 0,298.15,0 / 0.74,aci
solvent_49 / solvent_57,1 / 0,298.15,0 / 0.41,aci
solvent_49 / solvent_544,1 / 0,298.15,0 / 0.48,aci
solvent_49 / solvent_111,1 / 0,298.15,0 / 2.94,aci
solvent_49 / solvent_197,1 / 0,298.15,0 / 2.89,aci
solvent_49 / solvent_553,1 / 0,298.15,0 / 0.62,aci
solvent_49 / solvent_20,1 / 0,298.15,0 / 0.28,aci
solvent_450 / solvent_19,1 / 0,298.15,0 / 2.6,aci
solvent_135 / solvent_136,1 / 0,298.15,0 / 0.03,aci
solvent_816 / solvent_60,1 / 0,298.15,0 / 2.56,aci
solvent_816 / solvent_18,1 / 0,298.15,0 / 0.18,aci
solvent_28 / solvent_5,1 / 0,298.15,0 / 1.56,aci
solvent_28 / solvent_124,1 / 0,298.15,0 / 1.01,aci
solvent_860 / solvent_19,1 / 0,298.15,0 / 2.85,aci
solvent_181 / solvent_19,1 / 0,298.15,0 / 0.91,aci
solvent_181 / solvent_44,1 / 0,298.15,0 / 1.1,aci
solvent_23 / solvent_60,1 / 0,298.15,0 / 2.02,aci
solvent_23 / solvent_18,1 / 0,298.15,0 / 1.28,aci
solvent_12 / solvent_60,1 / 0,298.15,0 / 1.38,aci
solvent_12 / solvent_18,1 / 0,298.15,0 / 0.11,aci
solvent_12 / solvent_5,1 / 0,298.15,0 / 1.26,aci
solvent_12 / solvent_50,1 / 0,298.15,0 / 1.38,aci
solvent_12 / solvent_190,1 / 0,298.15,0 / 1.36,aci
solvent_12 / solvent_19,1 / 0,298.15,0 / 1.45,aci
solvent_12 / solvent_128,1 / 0,298.15,0 / 3,aci
solvent_12 / solvent_2,1 / 0,298.15,0 / 1.45,aci
solvent_12 / solvent_44,1 / 0,298.15,0 / 1.67,aci
solvent_12 / solvent_844,1 / 0,298.15,0 / 1.52,aci
solvent_12 / solvent_900,1 / 0,298.15,0 / 1.59,aci
solvent_12 / solvent_126,1 / 0,298.15,0 / 1.57,aci
solvent_12 / solvent_123,1 / 0,298.15,0 / 1.82,aci
solvent_12 / solvent_3,1 / 0,298.15,0 / 0.29,aci
solvent_12 / solvent_1,1 / 0,298.15,0 / 0.86,aci
solvent_12 / solvent_66,1 / 0,298.15,0 / 0.11,aci
solvent_12 / solvent_112,1 / 0,298.15,0 / 0.16,aci
solvent_12 / solvent_40,1 / 0,298.15,0 / 0.25,aci
solvent_12 / solvent_7,1 / 0,298.15,0 / 1,aci
solvent_570 / solvent_60,1 / 0,298.15,0 / 1.48,aci
solvent_570 / solvent_50,1 / 0,298.15,0 / 1.08,aci
solvent_570 / solvent_234,1 / 0,298.15,0 / 1.08,aci
